Order,Completed,Placed,"Publication ID",Title,"Requested Quantity","Qty Ordered","Bulk Order","Order Status","Order Source",City,State
73,,04/06/2020,PEP17-TTHY-FLASH,"Talk. They Hear You. Campaign Flash Drive (PEP17-TTHY-FLASH)",,10,Yes,"On Hold",Internal,test,Maryland
73,,04/06/2020,PEP17-TTHY-SHOPPING-P,"Talk. They Hear You: Shopping Break – Poster (PEP17-TTHY-SHOPPING-P)",,1,Yes,"On Hold",Internal,test,Maryland
73,,04/06/2020,PEP17-TTHY-SHOPPING-PC,"Talk. They Hear You: Shopping Break – Postcard (PEP17-TTHY-SHOPPING-PC)",,1,Yes,"On Hold",Internal,test,Maryland
73,,04/06/2020,PEP18-01,"Tips for Teens: The Truth About Cocaine (PEP18-01)",,1,Yes,"On Hold",Internal,test,Maryland
73,,04/06/2020,PEP18-02,"Tips for Teens: The Truth About Heroin (PEP18-02)",,1,Yes,"On Hold",Internal,test,Maryland
73,,04/06/2020,PEP18-04,"Tips for Teens: The Truth About Inhalants (PEP18-04)",,1,Yes,"On Hold",Internal,test,Maryland
74,,05/29/2020,SMA18-5070,"TIP 61: Behavioral Health Services for American Indians and Alaska Natives (SMA18-5070)",101,101,Yes,"On Hold",Store,Annandale,Virginia
75,,05/29/2020,SMA18-5070,"TIP 61: Behavioral Health Services for American Indians and Alaska Natives (SMA18-5070)",101,101,Yes,"On Hold",Store,"N. Bethesda",Maryland
82,,12/15/2020,SMA18-5084,"Talk. They Hear You: Help Your Children Grow Print Public Service Announcement  – Wallet Card (SMA18-5084)",21,22,Yes,Pending,Store,Rockville,Maryland
84,,12/16/2020,PEP12-DDHCARD,"Having Trouble Coping After a Disaster? Talk With Us. (PEP12-DDHCARD)",11,10,No,Pending,Store,Rockville,Maryland
88,,12/16/2020,SVP13-0153,"National Suicide Prevention Lifeline Wallet Card: Assessing Suicide Risk: Initial Tips for Counselors (SVP13-0153)",55,55,Yes,"On Hold",Store,Rockville,Maryland
89,,12/16/2020,SVP05-0125,"National Suicide Prevention Lifeline Magnet (SVP05-0125)",45,45,No,"Pick Slips Generated",Store,Rockville,Maryland
90,,12/16/2020,PEP19-02-01-001,"Anger Management for Substance Abuse and Mental Health Clients: A Cognitive-Behavioral Therapy Manual (PEP19-02-01-001)",1,1,No,"Pick Slips Generated",Store,Rockville,Maryland
