"Govt Pub Number",Title,Format,"Office or Center",Program/Campaign,"Publication Date","Item Owner","Available Qty","Allocated Qty","On Hand Qty","Max Order Qty","Published Status","Stock Status","Display Mode",Pallets,"Location of Product"
PEP20-02-01-017,"The Substance Use Disorder Counseling Competency Framework: An Overview",Advisory,CSAT,KAP/TIP,"01/08/2021 - 07:00","Suzanne Wise",0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
ADC10-PSASUICIDECD,"Teen Suicide Prevention PSA",,,,"01/01/2010 - 07:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
ADC10-PSASUICIDETP,"Teen Suicide Prevention PSA",,,,"01/01/2011 - 07:00",,0,0,0,1,"Not Published","OUT OF STOCK",None,0,
ADC10-SUICIDEP,"Teen Suicide Prevention: We Can Help Us",Poster,,,"06/01/2010 - 08:00",,0,0,0,50,Published,"OUT OF STOCK",External,0,"Pick Area"
ADM86-1070R,"Psychosocial Issues for Children and Adolescents in Disasters","Guidelines or Manual",,,"01/01/2000 - 07:00",,0,0,0,50,Published,"OUT OF STOCK",External,0,"Pick Area"
ADM90-0537,"Field Manual for Mental Health and Human Service Workers in Major Disasters","Field Manual",,,"01/01/2000 - 07:00",,0,0,0,50,Published,"OUT OF STOCK",External,0,"Pick Area"
AJO09-HOMELESS,"Special Section on Homelessness and Parenting",,,,"10/01/2009 - 08:00",,0,0,0,5,"Not Published","ELECTRONIC ONLY","Download Only",0,
DFC2018,"Grant Award Recipient Handbook 2017-2018",Brochure,,,"06/01/2018 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
DTAC11-CATALOG,"Disaster Behavioral Health Preparedness and Response Resources","Resource Guide",,,"11/01/2011 - 08:00",,0,0,0,1,Published,"OUT OF STOCK",External,0,"Pick Area"
EXB10-PEN-SMALL,"SAMHSA Pen-Small",,,,"05/01/2010 - 08:00",,0,0,0,100,"Not Published","OUT OF STOCK",Internal,0,
EXB10-PENHIGHLIT,"SAMHSA Highlighter-Pen",,,,"02/01/2012 - 07:00",,0,0,0,100,"Not Published","OUT OF STOCK",Internal,0,
KEN01-0093PUNJABI,"Tips for Talking to Children and Youth After Traumatic Events: A Guide for Parents and Educators (Punjabi Version)","Fact Sheet",,,"09/01/2012 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
KIT-SUICIDE-ENG,"Suicide Prevention Kit",,,,"10/30/2017 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
NMH05-0209PUNJABI,"Tips for Survivors of a Traumatic Event - Managing Your Stress (Punjabi Version)","Fact Sheet",,,"09/01/2012 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
NMH05-0210,"Psychological First Aid for First Responders","Fact Sheet",,,"01/01/2005 - 07:00",,0,0,0,50,Published,"OUT OF STOCK",External,0,"Pick Area"
NSDUH14-0904,"Substance Use and Mental Health Estimates from the 2013 National Survey on Drug Use and Health-Overview of Findings","Series Report",,,"09/01/2014 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP12-CMHI0608,"Child Mental Health Initiative Evaluation Findings: Report to Congress 2006-2008",Report,,,"02/01/2012 - 07:00",,0,0,0,1,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP12-CMHI0608SUM,"Comprehensive Community Mental Health Services for Children and Their Families Program Evaluation Findings: Executive Summary",Report,,,"04/01/2012 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
PEP12-CMHI2009,"Child Mental Health Initiative Evaluation Findings: Report to Congress 2009",Report,,,"02/01/2012 - 07:00",,0,0,0,1,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP12-CTCPPT,"Communities That Care Curriculum",,,,"08/01/2012 - 08:00",,0,0,0,1,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP12-DDHBRO,"Disaster Distress Helpline Brochure",Brochure,,,"06/01/2012 - 08:00",,0,0,0,100,Published,"OUT OF STOCK",External,0.01,"Pick Area, Pick Area, Pick Area"
PEP12-DDHCARD,"Having Trouble Coping After a Disaster? Talk With Us.","Promotional Item",,,"06/01/2012 - 08:00",,7767,40,7807,20,Published,"IN STOCK",External,0.34,"B-20A, Pick Area, Pick Area, Pick Area"
PEP12-EVALPAIMI,"Evaluation of the Protection and Advocacy for Individuals With Mental Illness (PAIMI) Program",Report,,,"03/01/2012 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
PEP12-NSSPGOALS,"National Strategy for Suicide Prevention 2012: Goals and Objectives for Action",Report,,,"09/01/2012 - 08:00",,2746,0,2746,5,Published,"IN STOCK",External,2,"A-3A, A-3B, Pick Area"
PEP12-NSSPOVER,"National Strategy for Suicide Prevention 2012: Overview",Report,,,"09/01/2012 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
PEP12-NSSPROLE,"National Strategy for Suicide Prevention 2012: How You Can Play a Role in Preventing Suicide","Fact Sheet",,,"09/01/2012 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
PEP12-RECDEF,"SAMHSA's Working Definition of Recovery",Brochure,,,"02/01/2012 - 07:00",,0,0,0,25,Published,"OUT OF STOCK",External,0,"Pick Area"
PEP13-CMHI2011,"The Comprehensive Community Mental Health Services for Children and Their Families Program, Evaluation Findings","Series Report",,,"11/01/2013 - 08:00",,210,0,210,1,Published,"IN STOCK",External,1,"C-15B, Pick Area"
PEP13-CMHI2011CD,"The Comprehensive Community Mental Health Services for Children and Their Families Program, Evaluation Findings-Annual Report to Congress 2011 (CD Version)","Series Report",,,"11/01/2013 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
PEP13-DKAPP-1,"SAMHSA Disaster","Mobile Application",,,"01/01/2014 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP13-DKAPPCRD,"Disaster Application Promotional Wallet Card",,,,"11/01/2013 - 08:00",,0,0,0,5,"Not Published","OUT OF STOCK",None,0,
PEP14-FAITHFS,"Everyone Can Play a Role in the Conversation about Mental Health","Fact Sheet",,,"03/01/2014 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP14-FAITHLTP,"Information for Faith-Based and Community Leaders","Guidelines or Manual",,,"03/01/2014 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP14-KNOWBULLYAPP,KnowBullying,"Mobile Application",,,"07/01/2014 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP14-KNOWBULLYPC,"KnowBullying: Put the power to prevent bullying in your hand Promotional Post Card",,,,"08/01/2014 - 08:00",,0,0,0,0,"Not Published","OUT OF STOCK",None,0,
PEP14-LGBTACAENROLL,"Affordable Care Act (ACA) Enrollment Assistance for LGBT Communities","Resource Guide",,,"11/01/2014 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP14-LGBTKIDS,"A Practitioner's Resource Guide: Helping Families to Support Their LGBT Children","Resource Guide",,,"02/01/2014 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP14-MAYORSRG,"Mayors' Resource Guide on Behavioral Health Issues","Resource Guide",,,"02/01/2014 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
PEP14-RTCUAD,"Report to Congress on the Prevention and Reduction of Underage Drinking",,,,"06/01/2015 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP15-CMHI2012-2013,"The Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances",Report,,,"03/01/2015 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
PEP15-FEDGUIDEOTP,"Federal Guidelines for Opioid Treatment Programs","Guidelines or Manual",,,"03/01/2015 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
