Govt Pub Number,Title,"Center/Office",X,Substance Abuse,Mental Health,Practitioner/Professional,General Public,,,,,,,,,
SVP13-0126,National Suicide Prevention Lifeline Wallet Card: Suicide Prevention: Learn the Warning Signs (English),CMHS,Suicide Prevention,,X,,X,,,,,,,,,
SVP05-0125,National Suicide Prevention Lifeline Magnet,CMHS,Suicide Prevention,,X,,X,,,,,,,,,
SVP13-0155R,National Suicide Prevention Lifeline Wallet Card: Having Trouble Coping?,CMHS,Suicide Prevention,,X,,X,,,,,,,,,
PEP19-08,Tips for Teens: The Truth About Opioids,CSAP,Tips for Teens,X,,,X,,,,,,,,,
PEP19-05,Tips for Teens: The Truth About Marijuana,CSAP,Tips for Teens,X,,,X,,,,,,,,,
PEP19-12,Tips for Teens: The Truth About E-Cigarettes,CSAP,Tips for Teens,X,,,X,,,,,,,,,
PEP19-07,Tips for Teens: The Truth About Tobacco,CSAP,Tips for Teens,X,,,X,,,,,,,,,
SMA18-4299,Underage Drinking: Myths vs. Facts,CSAP,Tips for Teens,X,,,X,,,,,,,,,
PEP18-02,Tips for Teens: The Truth About Heroin,CSAP,Tips for Teens,X,,,X,,,,,,,,,
SVP11-0126SP,National Suicide Prevention Lifeline Wallet Card: Suicide Prevention: Learn the Warning Signs (Spanish),CMHS,Suicide Prevention,,X,,X,,,,,,,,,
SMA15-3618,Good Mental Health is Ageless,CSAT,Knowledge Application Program,,X,,X,,,,,,,,,
SMA08-4354,Culture Card: American Indian and Alaska Native: A Guide to Build Cultural Awareness,CMHS,n/a,,X,X,,,,,,,,,,
SMA09-4432,SAFE-T Pocket Card: Suicide Assessment Five-Step Evaluation and Triage for Clinicians,CMHS,Suicide Prevention,,X,X,,,,,,,,,,
SVP13-0153,National Suicide Prevention Lifeline: Assessing Suicide Risk: Initial Tips for Counselors (Wallet Card),CMHS,Suicide Prevention,,X,X,,,,,,,,,,
PEP19-06,Tips for Teens: The Truth About Steroids,CSAP,Tips for Teens,X,,,X,,,,,,,,,
PEP18-04,Tips for Teens: The Truth About Inhalants ,CSAP,Tips for Teens,X,,,X,,,,,,,,,
PEP18-01,Tips for Teens: The Truth About Cocaine,CSAP,Tips for Teens,X,,,X,,,,,,,,,
PEP18-03,Tips for Teens: The Truth About Methamphetamine,CSAP,Tips for Teens,X,,,,,,,,,,,,
SMA17-5036,Tips for Health Care Practitioners and Responders: HELPING SURVIVORS COPE WITH GRIEF AFTER A DISASTER OR TRAUMATIC EVENT,CMHS,Disaster,X,,X,,,,,,,,,,
SMA17-5035,Tips for Survivors: Coping With Grief After a Disaster or Traumatic Event,CMHS,Disaster,,X,,X,,,,,,,,,
SMA17-3772,Keeping Youth Drug Free,CSAP,n/a,X,,,X ,,,,,,,,,
SMA17-5047,Tips for Survivors of a Disaster or Other Traumatic Event: Coping with Retraumatization,CMHS,Disaster,,X,X,X,,,,,,,,,
SMA19-5096,2019 National Prevention Week Planning Guide and Resource Calendar,CSAP,n/a,X,,,X,,,,,,,,,
SMA15-4127,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide",CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA13-4775,"Tips for Survivors of a Disaster or Traumatic Event: What to Expect in Your Personal, Family, Work, and Financial Life",CMHS,Disaster,,X,,X,,,,,,,,,
SMA14-4873,Tips for Disaster Responders: Preventing and Managing Stress,CMHS,Disaster,,X,X,,,,,,,,,,
SMA14-4872,Tips for Families of Returning Disaster Responders: Adjusting to Life at Home,CMHS,Disaster,,X,,X,,,,,,,,,
SMA14-4870,Tips for Disaster Responders: Returning to Work,CMHS,Disaster,,X,X,,,,,,,,,,
SMA12-4732,"Tips for Talking With and Helping Children and Youth Cope After a Disaster or Traumatic Event: A Guide for Parents, Caregivers, and Teachers",CMHS,Disaster,,X,,X,,,,,,,,,
SMA14-4874,Tips for Disaster Responders: Identifying Substance Misuse in the Responder Community,CMHS,Disaster,X,X,X,,,,,,,,,,
SMA14-4869,Tips for Disaster Responders: Understanding Compassion Fatigue,CMHS,Disaster,,X,X,,,,,,,,,,
SMA13-4776,Tips for Survivors of a Disaster or Other Traumatic Event: Managing Stress,CMHS,Disaster,,X,,X,,,,,,,,,
SMA12-4669,Preventing Suicide: A Toolkit for High Schools,CMHS,Suicide Prevention,,X,,X,,,,,,,,,
SMA09-4373,Crisis Counseling Assistance and Training Program (CCP),CMHS,Disaster,,X,X,,,,,,,,,,
SMA15-4585,"Should You Talk to Someone About a Drug, Alcohol, or Mental Health Problem?",CSAT,Knowledge Application Program,X,X,,X,,,,,,,,,
SMA15-4419,A Journey Toward Health and Hope: Your Handbook for Recovery After a Suicide Attempt,CMHS,Suicide Prevention,,X,,X,,,,,,,,,
SMA14-4871,Tips for Supervisors of Disaster Responders: Helping Staff Manage Stress When Returning to Work,CMHS,Disaster,,X,X,,,,,,,,,,
SMA15-3897,Good Mental Health is Ageless (Spanish version),CSAT,Knowledge Application Program,,X,,X,,,,,,,,,
SMA11-DISASTER,SAMHSA's Disaster Kit,CMHS,Disaster,,X,X,,,,,,,,,,
SMA10-4120,Focus on Prevention,CSAP,n/a,X,,X,X,,,,,,,,,
